Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01701","Beans, dry","2018","2018","t","24542"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01702","Broad beans and horse beans, dry","2016","2016","t","207.65"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01702","Broad beans and horse beans, dry","2017","2017","t","207.95"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01702","Broad beans and horse beans, dry","2018","2018","t","208.21"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01243","Broad beans and horse beans, green","2016","2016","t","140"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01243","Broad beans and horse beans, green","2017","2017","t","138"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01243","Broad beans and horse beans, green","2018","2018","t","120"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01212","Cabbages","2016","2016","t","56655"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01212","Cabbages","2017","2017","t","52600"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01212","Cabbages","2018","2018","t","52857"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01229","Cantaloupes and other melons","2016","2016","t","42462"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01229","Cantaloupes and other melons","2017","2017","t","43653.5"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01229","Cantaloupes and other melons","2018","2018","t","41764"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01251","Carrots and turnips","2016","2016","t","14858"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01251","Carrots and turnips","2017","2017","t","11973.62"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01251","Carrots and turnips","2018","2018","t","10236"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","21512","Cattle fat, unrendered","2016","2016","t","1687.25"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","21512","Cattle fat, unrendered","2017","2017","t","1693.19"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","21512","Cattle fat, unrendered","2018","2018","t","1672.66"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01213","Cauliflowers and broccoli","2016","2016","t","5891"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01213","Cauliflowers and broccoli","2017","2017","t","5294"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01213","Cauliflowers and broccoli","2018","2018","t","4648"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01344.02","Cherries","2016","2016","t","19261"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01344.02","Cherries","2017","2017","t","19168.62"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01344.02","Cherries","2018","2018","t","19210"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01373","Chestnuts, in shell","2016","2016","t","6040"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01373","Chestnuts, in shell","2017","2017","t","6226.2"
